5.27	-104.41	0.0 5.8
5.98	-104.41	0.0 5.8
6.68	-104.41	0.0 5.8
7.38	-104.41	0.0 5.8
8.09	-104.41	0.0 5.8
8.79	-104.41	0.0 5.8
9.49	-104.41	0.0 5.8
10.2	-104.41	0.0 5.8
10.9	-104.41	0.0 5.8
11.6	-104.41	0.0 5.8
12.3	-104.41	0.0 5.8
13.01	-104.41	0.0 5.8
13.71	-104.41	0.0 5.8
14.41	-104.41	0.0 5.8
15.12	-104.41	0.0 5.8
15.82	-104.41	0.0 5.8
16.52	-104.41	0.0 5.8
17.23	-104.41	0.0 5.8
17.93	-104.41	0.0 5.8
18.63	-104.41	0.0 5.8
19.34	-104.41	0.0 5.8
20.04	-104.41	0.0 5.8
20.74	-104.41	0.0 5.8
21.45	-104.41	0.0 5.8
22.15	-104.41	0.0 5.8
22.85	-104.41	0.0 5.8
23.55	-104.41	0.0 5.8
24.26	-104.41	0.0 5.8
24.96	-104.41	0.0 5.8
5.27	-103.71	0.0 5.8
5.98	-103.71	0.0 5.8
6.68	-103.71	0.0 5.8
7.38	-103.71	0.0 5.8
8.09	-103.71	0.0 5.8
8.79	-103.71	0.0 5.8
9.49	-103.71	0.0 5.8
10.2	-103.71	0.0 5.8
10.9	-103.71	0.0 5.8
11.6	-103.71	0.0 5.8
12.3	-103.71	0.0 5.8
13.01	-103.71	0.0 5.8
13.71	-103.71	0.0 5.8
14.41	-103.71	0.0 5.8
15.12	-103.71	0.0 5.8
15.82	-103.71	0.0 5.8
16.52	-103.71	0.0 5.8
17.23	-103.71	0.0 5.8
17.93	-103.71	0.0 5.8
18.63	-103.71	0.0 5.8
19.34	-103.71	0.0 5.8
20.04	-103.71	0.0 5.8
20.74	-103.71	0.0 5.8
21.45	-103.71	0.0 5.8
22.15	-103.71	0.0 5.8
22.85	-103.71	0.0 5.8
23.55	-103.71	0.0 5.8
24.26	-103.71	0.0 5.8
24.96	-103.71	0.0 5.8
5.27	-103.01	0.0 5.8
5.98	-103.01	0.0 5.8
6.68	-103.01	0.0 5.8
7.38	-103.01	0.0 5.8
8.09	-103.01	0.0 5.8
8.79	-103.01	0.0 5.8
9.49	-103.01	0.0 5.8
10.2	-103.01	0.0 5.8
10.9	-103.01	0.0 5.8
11.6	-103.01	0.0 5.8
12.3	-103.01	0.0 5.8
13.01	-103.01	0.0 5.8
13.71	-103.01	0.0 5.8
14.41	-103.01	0.0 5.8
15.12	-103.01	0.0 5.8
15.82	-103.01	0.0 5.8
16.52	-103.01	0.0 5.8
17.23	-103.01	0.0 5.8
17.93	-103.01	0.0 5.8
18.63	-103.01	0.0 5.8
19.34	-103.01	0.0 5.8
20.04	-103.01	0.0 5.8
20.74	-103.01	0.0 5.8
21.45	-103.01	0.0 5.8
22.15	-103.01	0.0 5.8
22.85	-103.01	0.0 5.8
23.55	-103.01	0.0 5.8
24.26	-103.01	0.0 5.8
24.96	-103.01	0.0 5.8
5.27	-102.3	0.0 5.8
5.98	-102.3	0.0 5.8
6.68	-102.3	0.0 5.8
7.38	-102.3	0.0 5.8
8.09	-102.3	0.0 5.8
8.79	-102.3	0.0 5.8
9.49	-102.3	0.0 5.8
10.2	-102.3	0.0 5.8
10.9	-102.3	0.0 5.8
11.6	-102.3	0.0 5.8
12.3	-102.3	0.0 5.8
13.01	-102.3	0.0 5.8
13.71	-102.3	0.0 5.8
14.41	-102.3	0.0 5.8
15.12	-102.3	0.0 5.8
15.82	-102.3	0.0 5.8
16.52	-102.3	0.0 5.8
17.23	-102.3	0.0 5.8
17.93	-102.3	0.0 5.8
18.63	-102.3	0.0 5.8
19.34	-102.3	0.0 5.8
20.04	-102.3	0.0 5.8
20.74	-102.3	0.0 5.8
21.45	-102.3	0.0 5.8
22.15	-102.3	0.0 5.8
22.85	-102.3	0.0 5.8
23.55	-102.3	0.0 5.8
24.26	-102.3	0.0 5.8
24.96	-102.3	0.0 5.8
5.27	-101.6	0.0 5.8
5.98	-101.6	0.0 5.8
6.68	-101.6	0.0 5.8
7.38	-101.6	0.0 5.8
8.09	-101.6	0.0 5.8
8.79	-101.6	0.0 5.8
9.49	-101.6	0.0 5.8
10.2	-101.6	0.0 5.8
10.9	-101.6	0.0 5.8
11.6	-101.6	0.0 5.8
12.3	-101.6	0.0 5.8
13.01	-101.6	0.0 5.8
13.71	-101.6	0.0 5.8
14.41	-101.6	0.0 5.8
15.12	-101.6	0.0 5.8
15.82	-101.6	0.0 5.8
16.52	-101.6	0.0 5.8
17.23	-101.6	0.0 5.8
17.93	-101.6	0.0 5.8
18.63	-101.6	0.0 5.8
19.34	-101.6	0.0 5.8
20.04	-101.6	0.0 5.8
20.74	-101.6	0.0 5.8
21.45	-101.6	0.0 5.8
22.15	-101.6	0.0 5.8
22.85	-101.6	0.0 5.8
23.55	-101.6	0.0 5.8
24.26	-101.6	0.0 5.8
24.96	-101.6	0.0 5.8
5.27	-100.9	0.0 5.8
5.98	-100.9	0.0 5.8
6.68	-100.9	0.0 5.8
7.38	-100.9	0.0 5.8
8.09	-100.9	0.0 5.8
8.79	-100.9	0.0 5.8
9.49	-100.9	0.0 5.8
10.2	-100.9	0.0 5.8
10.9	-100.9	0.0 5.8
11.6	-100.9	0.0 5.8
12.3	-100.9	0.0 5.8
13.01	-100.9	0.0 5.8
13.71	-100.9	0.0 5.8
14.41	-100.9	0.0 5.8
15.12	-100.9	0.0 5.8
15.82	-100.9	0.0 5.8
16.52	-100.9	0.0 5.8
17.23	-100.9	0.0 5.8
17.93	-100.9	0.0 5.8
18.63	-100.9	0.0 5.8
19.34	-100.9	0.0 5.8
